Year	Normalized Cost in Millions USD
1900	37,541
1901	904
1902	0
1903	9,730
1904	1,177
1905	0
1906	5,739
1907	0
1908	0
1909	4,121
1910	1,591
1911	304
1912	0
1913	920
1914	0
1915	33,344
1916	5,077
1917	0
1918	516
1919	7,543
1920	514
1921	4,584
1922	0
1923	0
1924	0
1925	0
1926	104,908
1927	0
1928	19,457
1929	190
1930	0
1931	0
1932	2,558
1933	4,892
1934	517
1935	4,469
1936	146
1937	0
1938	23,464
1939	0
1940	722
1941	1,410
1942	1,647
1943	2,131
1944	33,133
1945	9,958
1946	3,162
1947	15,196
1948	2,383
1949	8,707
1950	3,958
1951	256
1952	82
1953	37
1954	22,844
1955	17,204
1956	456
1957	3,186
1958	290
1959	582
1960	15,918
1961	9,340
1962	55
1963	194
1964	9,193
1965	16,557
1966	215
1967	2,673
1968	417
1969	14,298
1970	4,352
1971	1,580
1972	13,978
1973	123
1974	933
1975	2,290
1976	400
1977	42
1978	100
1979	11,264
1980	1,128
1981	102
1982	36
1983	5,289
1984	170
1985	8,567
1986	38
1987	17
1988	115
1989	13,436
1990	96
1991	2,234
1992	43,152
1993	83
1994	1,339
1995	4,860
1996	4,544
1997	121
1998	5,484
1999	6,222
2000	32
2001	6,254
2002	1,411
2003	3,970
2004	45,000
2005	120,000
