Year	Deaths
1900	8,000
1901	10
1902	0
1903	15
1904	5
1905	0
1906	298
1907	0
1908	0
1909	406
1910	30
1911	17
1912	1
1913	5
1914	0
1915	550
1916	107
1917	5
1918	34
1919	287
1920	2
1921	6
1922	0
1923	0
1924	2
1925	6
1926	408
1927	0
1928	2,500
1929	3
1930	0
1931	0
1932	40
1933	63
1934	17
1935	414
1936	9
1937	0
1938	600
1939	3
1940	51
1941	10
1942	8
1943	16
1944	64
1945	7
1946	0
1947	53
1948	3
1949	4
1950	19
1951	0
1952	3
1953	2
1954	193
1955	218
1956	19
1957	400
1958	2
1959	24
1960	65
1961	46
1962	3
1963	10
1964	49
1965	75
1966	54
1967	18
1968	9
1969	256
1970	11
1971	8
1972	122
1973	5
1974	1
1975	21
1976	9
1977	0
1978	36
1979	22
1980	2
1981	0
1982	0
1983	22
1984	4
1985	30
1986	9
1987	0
1988	6
1989	56
1990	13
1991	16
1992	24
1993	4
1994	38
1995	29
1996	36
1997	4
1998	23
1999	62
2000	6
2001	45
2002	9
2003	24
2004	60
2005	2,067
2006	0
2007	10
2008	41
2009	6
2010	11
2011	52
2012	86
2013	1
2014	0
2015	10
2016	36
2017	80
2018	47
