YEAR	"CATEGORY (at landfall)"
1935	5
1969	5
2018	5
2005	3
1992	5
1886	4
1919	4
1928	4
1960	4
1915	4
1961	4
1856	4
1989	4
1926	4
1900	4
2005	3
1898	4
1954	4
1947	4
1932	4
2004	4
1985	3
1995	3
2012	1
1888	3
1899	3
1957	4
1915	4
1970	3
1980	3
1938	3
1979	3
2004	3
2005	3
1944	3
1906	3
1893	3
1965	3
1929	3
1933	3
1916	3
1916	3
1882	3
1984	3
1933	3
2005	3
1854	3
1855	3
1860	3
1879	3
1967	3
1964	3
1959	3
1942	3
2004	3
2008	2
1945	3
1999	3
1909	3
1921	3
1974	3
2011	1
1885	3
1906	3
1893	3
1954	3
1949	3
1996	3
2008	2
1871	3
1886	3
1893	3
1894	3
1975	3
1950	3
1926	3
1918	3
