Years	Acres
2018	8,767,492
2017	10,026,086
2016	5,509,995
2015	10,125,149
2014	3,595,613
2013	4,319,546
2012	9,326,238
2011	8,711,367
2010	3,422,724
2009	5,921,786
2008	5,292,468
2007	9,328,045
2006	9,873,745
2005	8,689,389
2004	8,097,880
2003	3,960,842
2002	7,184,712
2001	3,570,911
2000	7,393,493
1999	5,626,093
1998	1,329,704
1997	2,856,959
1996	6,065,998
1995	1,840,546
1994	4,073,579
1993	1,797,574
1992	2,069,929
1991	2,953,578
1990	4,621,621
1989	1,827,310
1988	5,009,290
1987	2,447,296
1986	2,719,162
1985	2,896,147
1984	1,148,409
1983	1,323,666
1982	2,382,036
1981	4,814,206
1980	5,260,825
1979	2,986,826
1978	3,910,913
1977	3,152,644
1976	5,109,926
1975	1,791,327
1974	2,879,095
1973	1,915,273
1972	2,641,166
1971	4,278,472
1970	3,278,565
1969	6,689,081
1968	4,231,996
1967	4,658,586
1966	4,574,389
1965	2,652,112
1964	4,197,309
1963	7,120,768
1962	4,078,894
1961	3,036,219
1960	4,478,188
1959	4,156,000
1958	3,280,000
1957	3,410,000
1956	6,606,000
1955	8,069,000
1954	8,833,000
1953	9,976,000
1952	14,187,000
1951	10,781,000
1950	15,519,000
1949	15,397,000
1948	16,557,000
1947	23,226,000
1946	20,691,000
1945	17,681,000
1944	16,549,000
1943	32,333,000
1942	31,854,000
1941	26,405,000
1940	25,848,000
1939	30,449,000
1938	33,815,000
1937	21,981,000
1936	43,207,000
1935	30,335,000
1934	41,821,000
1933	43,890,000
1932	42,063,000
1931	51,607,000
1930	52,266,000
1929	46,230,000
1928	43,542,000
1927	38,531,000
1926	24,316,000
