Year	Total(in millions of USD)
1985	239.943
1986	202.778
1987	335.109
1988	578.926
1989	499.787
1990	397.952
1991	206.12
1992	377.466
1993	240.436
1994	918.335
1995	477.126
1996	701.183
1997	284.148
1998	416.704
1999	515.516
2000	1410.802
2001	952.696
2002	1674.04
2003	1327.138
2004	1007.244
2005	818.954
2006	1704.477
2007	1620.145
2008	1585.856
2009	920.529
2010	809.499
2011	1374.525
2012	1902.446
2013	1740.934
2014	1522.149
2015	2130.543
2016	1975.545
2017	2918.165
2018	3143.256
