Years	Count:
2018	58,083
2017	71,499
2016	67,743
2015	68,151
2014	63,312
2013	47,579
2012	67,774
2011	74,126
2010	71,971
2009	78,792
2008	78,979
2007	85,705
2006	96,385
2005	66,753
2004	65,461
2003	63,629
2002	73,457
2001	84,079
2000	92,250
1999	92,487
1998	81,043
1997	66,196
1996	96,363
1995	82,234
1994	79,107
1993	58,810
1992	87,394
1991	75,754
1990	66,481
1989	48,949
1988	72,750
1987	71,300
1986	85,907
1985	82,591
1984	20,493
1983	18,229
1982	174,755
1981	249,370
1980	234,892
1979	163,196
1978	218,842
1977	173,998
1976	241,699
1975	134,872
1974	145,868
1973	117,957
1972	124,554
1971	108,398
1970	121,736
1969	113,351
1968	125,371
1967	125,025
1966	122,500
1965	113,684
1964	116,358
1963	164,183
1962	115,345
1961	98,517
1960	103,387
1959	104,662
1958	97,910
1957	83,392
1956	143,485
1955	145,180
1954	176,891
1953	154,160
1952	188,277
1951	164,090
1950	208,402
1949	193,774
1948	174,189
1947	200,799
1946	172,278
1945	124,728
1944	131,229
1943	210,326
1942	208,218
1941	199,702
1940	195,427
1939	212,671
1938	232,229
1937	185,209
1936	226,285
1935	140,297
1934	162,663
1933	140,722
1932	166,399
1931	187,214
1930	190,980
1929	134,895
1928	175,934
1927	158,438
1926	91,793
