Year	Fatalitites
1910	84
1926	5
1929	1
1930	1
1931	8
1933	29
1934	8
1935	3
1936	12
1937	21
1938	13
1939	15
1940	7
1941	6
1942	1
1943	15
1944	1
1945	2
1946	2
1947	2
1948	1
1949	20
1950	7
1952	3
1953	19
1954	9
1955	8
1956	18
1958	3
1959	16
1960	7
1961	9
1962	5
1963	3
1964	5
1965	9
1966	13
1967	11
1968	20
1969	1
1970	6
1971	9
1972	12
1973	13
1974	8
1975	3
1976	6
1977	15
1978	5
1979	13
1980	8
1981	7
1982	2
1983	13
1984	19
1985	8
1986	9
1987	24
1988	29
1989	14
1990	23
1991	13
1992	13
1993	8
1994	35
1995	15
1996	12
1997	10
1998	14
1999	26
2000	17
2001	18
2002	23
2003	30
2004	20
2005	12
2006	24
2007	9
2008	25
2009	15
2010	8
2011	11
2012	15
2013	34
2014	10
2015	13
2016	15
2017	14
